nt n factor policy kernel bw
32 262144 16 3d-mdrange Scale 177.1917
32 262144 16 3d-mdrange Add 239.8573
32 262144 16 3d-mdrange Triad 386.4531
32 331776 16 4d-mdrange Set 112.8058
32 331776 16 4d-mdrange Copy 197.1923
32 331776 16 4d-mdrange Scale 195.0118
32 331776 16 4d-mdrange Add 260.1315
32 331776 16 4d-mdrange Triad 429.7153
32 331776 32 2d-mdrange Set 124.0864
32 331776 32 2d-mdrange Copy 203.8562
32 331776 32 2d-mdrange Scale 201.2975
32 331776 32 2d-mdrange Add 264.5390
32 331776 32 2d-mdrange Triad 469.7713
32 262144 32 3d-mdrange Set 107.1616
32 262144 32 3d-mdrange Copy 190.3906
32 262144 32 3d-mdrange Scale 186.8287
32 262144 32 3d-mdrange Add 248.7823
32 262144 32 3d-mdrange Triad 396.1874
32 331776 32 4d-mdrange Set 122.2574
32 331776 32 4d-mdrange Copy 210.2343
32 331776 32 4d-mdrange Scale 207.4329
32 331776 32 4d-mdrange Add 278.9010
32 331776 32 4d-mdrange Triad 457.0967
32 331776 64 2d-mdrange Set 123.3368
32 331776 64 2d-mdrange Copy 208.7462
32 331776 64 2d-mdrange Scale 207.2790
32 331776 64 2d-mdrange Add 268.9076
32 331776 64 2d-mdrange Triad 469.4943
32 262144 64 3d-mdrange Set 104.3879
32 262144 64 3d-mdrange Copy 188.0854
32 262144 64 3d-mdrange Scale 185.8354
32 262144 64 3d-mdrange Add 240.5911
32 262144 64 3d-mdrange Triad 387.8826
32 1048576 1 2d-mdrange Set 314.7695
32 1048576 1 2d-mdrange Copy 617.9453
32 1048576 1 2d-mdrange Scale 617.9453
32 1048576 1 2d-mdrange Add 900.3550
32 1048576 1 2d-mdrange Triad 908.8416
32 2097152 1 3d-mdrange Set 390.9862
32 2097152 1 3d-mdrange Copy 768.3635
32 2097152 1 3d-mdrange Scale 767.8360
32 2097152 1 3d-mdrange Add 1012.9130
32 2097152 1 3d-mdrange Triad 1037.9800
32 1048576 1 4d-mdrange Set 346.4935
32 1048576 1 4d-mdrange Copy 667.0861
32 1048576 1 4d-mdrange Scale 673.7838
32 1048576 1 4d-mdrange Add 941.4824
32 1048576 1 4d-mdrange Triad 926.9180
32 1048576 2 2d-mdrange Set 312.6578
32 1048576 2 2d-mdrange Copy 613.6285
32 1048576 2 2d-mdrange Scale 613.8754
32 1048576 2 2d-mdrange Add 902.6479
32 1048576 2 2d-mdrange Triad 905.5386
32 2097152 2 3d-mdrange Set 392.4495
32 2097152 2 3d-mdrange Copy 769.0503
32 2097152 2 3d-mdrange Scale 767.4847
32 2097152 2 3d-mdrange Add 977.1238
32 2097152 2 3d-mdrange Triad 1053.8452
32 1048576 2 4d-mdrange Set 340.4329
32 1048576 2 4d-mdrange Copy 662.3718
32 1048576 2 4d-mdrange Scale 657.9042
32 1048576 2 4d-mdrange Add 889.5661
32 1048576 2 4d-mdrange Triad 910.4857
32 1048576 4 2d-mdrange Set 313.4756
32 1048576 4 2d-mdrange Copy 613.4265
32 1048576 4 2d-mdrange Scale 616.5827
32 1048576 4 2d-mdrange Add 899.1005
32 1048576 4 2d-mdrange Triad 908.5135
32 2097152 4 3d-mdrange Set 391.9819
32 2097152 4 3d-mdrange Copy 767.6603
32 2097152 4 3d-mdrange Scale 764.5120
32 2097152 4 3d-mdrange Add 973.3446
32 2097152 4 3d-mdrange Triad 1065.6486
32 1048576 4 4d-mdrange Set 341.2639
32 1048576 4 4d-mdrange Copy 655.3600
32 1048576 4 4d-mdrange Scale 654.3376
32 1048576 4 4d-mdrange Add 830.0074
32 1048576 4 4d-mdrange Triad 899.4219
32 1048576 8 2d-mdrange Set 312.6578
32 1048576 8 2d-mdrange Copy 610.3247
32 1048576 8 2d-mdrange Scale 612.5083
32 1048576 8 2d-mdrange Add 883.6004
32 1048576 8 2d-mdrange Triad 889.5661
32 2097152 8 3d-mdrange Set 389.0730
32 2097152 8 3d-mdrange Copy 628.0073
32 2097152 8 3d-mdrange Scale 627.1739
32 2097152 8 3d-mdrange Add 747.7588
32 2097152 8 3d-mdrange Triad 1061.8267
32 1048576 8 4d-mdrange Set 299.4862
32 1048576 8 4d-mdrange Copy 482.5199
32 1048576 8 4d-mdrange Scale 483.7721
32 1048576 8 4d-mdrange Add 595.4858
32 1048576 8 4d-mdrange Triad 906.8439
32 1048576 16 2d-mdrange Set 312.5413
32 1048576 16 2d-mdrange Copy 509.9458
32 1048576 16 2d-mdrange Scale 510.4112
32 1048576 16 2d-mdrange Add 636.6260
32 1048576 16 2d-mdrange Triad 889.8806
32 2097152 16 3d-mdrange Set 227.4877
